ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile50.0,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,self-esteem
268,35.115875,0.053490553,34.977028,0.50366944,0.48803806,0.4674041,0.23394477,0.68208534,8.681073,0.30063018,-19.602736,-0.35009593,0.21328357,0.31869322,36
269,25.559185,0.10156725,25.183022,0.49828008,0.51993084,0.4693468,0.19482335,0.6717805,4.897062,0.43849215,-15.839703,-0.37471724,0.23064935,0.31351936,30
270,22.252607,0.07424184,22.095177,0.5127472,0.38362226,0.49351344,0.24902673,0.50935817,3.2893934,0.5036595,-17.097982,-0.2996798,0.23842105,0.41043314,29
271,37.114815,0.072463445,37.19318,0.5062599,0.6000171,0.4482319,0.2201523,0.79904944,9.197595,0.30164948,-17.528284,-0.4232979,0.4426829,0.74365294,31
274,33.829124,0.13840955,35.64415,0.40620595,0.40545514,0.41510344,0.15641695,0.5219673,7.4468775,0.39537194,-17.311071,-0.33860862,0.2515294,0.3121444,21
275,22.299892,0.11759158,21.916878,0.36881363,0.47950453,0.34813967,0.17254794,0.68076813,3.5463197,0.57360095,-20.941008,-0.2802821,0.26454544,0.3655899,38
276,26.64779,0.11698346,25.519112,0.65646595,0.5119826,0.64511734,0.35764894,0.72135615,5.164721,0.46810985,-18.892094,-0.32441384,0.18615384,0.22580631,33
277,35.43435,0.15375768,37.02026,0.43625182,0.33332694,0.42370722,0.19213812,0.4755771,6.8048334,0.40008152,-18.509592,-0.32266676,0.23327102,0.27853683,29
279,34.9752,0.117381394,35.040718,0.44576457,0.39433354,0.42072234,0.21869153,0.6595708,7.769203,0.36278477,-19.308622,-0.3406825,0.19710524,0.29785702,33
280,34.031986,0.1364314,34.59824,0.4587817,0.4362828,0.45819637,0.21956588,0.6465357,6.063705,0.44108108,-17.907787,-0.3565623,0.21776699,0.2722539,31
285,34.751312,0.10912624,35.66765,0.5091878,0.34030584,0.50203,0.24131428,0.48472786,7.2282424,0.3660908,-18.947754,-0.30752188,0.16475728,0.23833095,28
287,33.949642,0.11079993,34.907337,0.38787797,0.21784864,0.381027,0.18876784,0.411479,7.7528853,0.31115344,-22.39546,-0.21152462,0.21825242,0.37260672,30
289,37.506294,0.09283122,38.09037,0.4615144,0.429035,0.43985388,0.19043143,0.5212865,7.615723,0.35844597,-17.27379,-0.39592683,0.18632075,0.2601825,29
290,34.79059,0.08008105,35.219624,0.42491066,0.37312385,0.41470996,0.1714752,0.5089583,8.332571,0.31912762,-19.033989,-0.33478802,0.2228395,0.24908838,30
295,36.51094,0.09058638,36.685123,0.49874908,0.4830555,0.4753739,0.21557815,0.66249126,8.389168,0.33019343,-17.297216,-0.38395452,0.24654321,0.31664196,28
296,34.101902,0.13937648,35.40963,0.38530436,0.44702172,0.35080814,0.17998962,0.6596122,8.041309,0.3754527,-21.154537,-0.30531147,0.28385714,0.6084272,30
297,34.43363,0.09801723,34.93827,0.39992833,0.48332128,0.37586877,0.164977,0.6941446,7.88118,0.3522741,-18.348381,-0.30195192,0.28644738,1.0823473,28
298,33.870476,0.13105994,35.2024,0.4711309,0.36475414,0.45178148,0.20830002,0.4899537,7.1642127,0.3979809,-18.040394,-0.32707506,0.2852564,0.3057304,25
310,34.521484,0.06137754,34.2816,0.6116438,0.51695377,0.56348205,0.26071677,0.7116516,7.456975,0.37879792,-15.272581,-0.43889672,0.16476743,0.25816754,24
311,35.939312,0.093927234,36.03224,0.47628987,0.38578913,0.44943938,0.17932136,0.5428215,7.353844,0.36415294,-14.969314,-0.4351117,0.17474747,0.30014932,31
312,24.260105,0.09455205,23.516657,0.6562235,0.4935052,0.6760258,0.36513236,0.6726735,3.8537211,0.53310275,-18.303822,-0.3523785,0.23237114,0.39373907,33
313,35.830845,0.08743769,36.355316,0.43532154,0.29868817,0.42702225,0.183893,0.48124298,8.597684,0.3029174,-19.738905,-0.33230817,0.15581632,0.1519729,29
315,35.74076,0.073078565,35.211483,0.5809359,0.48755914,0.56650484,0.27274793,0.6557918,7.0133767,0.43250692,-16.046354,-0.4226547,0.2115625,0.32313338,35
317,36.36964,0.092428535,36.8659,0.4059893,0.43096486,0.41259408,0.18591249,0.64375895,8.004628,0.3305089,-19.602537,-0.3129186,0.19553192,0.5066108,36
318,37.502274,0.07707144,37.483078,0.4854201,0.3764914,0.47939613,0.21060789,0.5400741,8.361256,0.31337243,-18.451002,-0.34656164,0.16347368,0.19922358,26
319,35.46355,0.06531813,35.221085,0.57880604,0.37325576,0.55120057,0.28971547,0.49800166,7.4399905,0.34502316,-17.67911,-0.4314434,0.20951456,0.23047176,40
